user_id,login_frequency,session_duration,search_count,recommendation_requests,movies_clicked,favorites_added,ratings_given,satisfaction_score,days_since_last_login,avg_rating_given,genre_Action,genre_Comedy,genre_Documentary,genre_Drama,genre_Horror,genre_Romance,genre_Sci-Fi,genre_Thriller,churn
U0001,16,34.2,25,11,7,2,3,3,23,3.4,0,0,0,0,0,0,1,0,0
U0002,17,27.3,17,10,5,1,2,2,25,2.8,1,0,0,0,0,0,0,0,1
U0003,19,34.0,21,11,7,1,4,3,21,3.5,0,0,1,0,0,0,0,0,0
U0004,12,15.5,11,4,1,0,0,2,39,2.7,0,1,0,0,0,0,0,0,1
U0005,23,49.0,35,17,13,5,8,5,8,3.9,0,0,0,0,0,1,0,0,0
U0006,10,14.5,8,5,2,0,0,2,41,2.3,0,0,0,0,1,0,0,0,1
U0007,22,46.5,29,16,11,4,5,4,11,3.6,1,0,0,0,0,0,0,0,0
U0008,11,15.2,13,6,2,0,0,2,34,2.6,1,0,0,0,0,0,0,0,0
U0009,15,25.5,18,9,4,1,2,3,32,2.9,0,0,0,0,1,0,0,0,1
U0010,18,43.3,28,15,10,3,5,4,16,3.9,0,0,0,0,0,1,0,0,0
U0011,25,42.8,29,19,13,5,6,5,4,4.8,1,0,0,0,0,0,0,0,0
U0012,7,10.3,9,4,1,0,1,2,43,2.2,0,0,0,0,0,1,0,0,1
U0013,17,33.7,24,12,7,2,3,4,19,3.3,0,0,0,0,0,1,0,0,0
U0014,18,35.6,23,10,6,2,2,3,26,3.0,0,0,0,1,0,0,0,0,1
U0015,8,20.2,8,7,3,1,1,2,42,2.2,0,0,1,0,0,0,0,0,1
U0016,19,31.1,22,14,9,3,4,3,23,3.6,0,0,0,0,0,0,0,1,0
U0017,9,13.7,10,4,2,0,1,2,44,1.9,0,0,0,1,0,0,0,0,1
U0018,17,28.9,20,12,6,2,2,2,28,2.8,1,0,0,0,0,0,0,0,0
U0019,12,22.7,17,8,3,1,1,2,33,2.8,0,0,1,0,0,0,0,0,1
U0020,15,24.7,18,9,4,2,1,3,29,2.9,1,0,0,0,0,0,0,0,1
U0021,11,20.2,16,9,4,1,1,2,33,3.0,0,1,0,0,0,0,0,0,1
U0022,22,35.1,26,15,9,4,4,4,19,3.5,0,0,0,0,0,0,1,0,0
U0023,9,9.7,10,4,3,1,1,2,37,2.2,1,0,0,0,0,0,0,0,1
U0024,19,25.6,21,11,7,2,3,3,30,3.6,0,0,0,0,0,0,0,1,0
U0025,10,16.9,16,8,4,1,1,2,35,2.9,1,0,0,0,0,0,0,0,1
U0026,14,27.1,13,7,4,1,2,2,34,2.5,1,0,0,0,0,0,0,0,1
U0027,17,35.0,23,13,9,3,4,4,24,3.0,0,0,0,0,0,0,1,0,1
U0028,14,21.2,16,7,3,0,0,3,32,2.4,0,0,0,0,0,0,0,1,1
U0029,11,22.3,14,8,3,0,2,2,31,2.7,0,0,0,0,0,0,1,0,1
U0030,13,27.7,23,9,5,2,2,3,25,3.4,0,0,0,0,0,0,1,0,0
U0031,8,13.8,8,5,1,1,0,2,35,2.0,0,0,0,1,0,0,0,0,1
U0032,13,17.0,14,8,3,2,1,3,30,2.9,0,0,0,1,0,0,0,0,1
U0033,17,32.9,23,12,8,2,3,3,29,3.2,0,1,0,0,0,0,0,0,1
U0034,6,8.9,7,4,2,0,0,2,48,1.8,1,0,0,0,0,0,0,0,1
U0035,5,7.2,8,3,2,0,2,1,47,2.0,0,0,0,0,1,0,0,0,1
U0036,11,18.9,16,9,5,1,1,2,31,2.9,0,0,0,0,0,0,1,0,1
U0037,16,31.9,25,13,7,2,2,3,22,3.5,1,0,0,0,0,0,0,0,1
U0038,26,50.9,32,18,13,4,7,4,10,4.2,0,1,0,0,0,0,0,0,0
U0039,10,24.1,12,8,5,1,2,3,33,3.1,0,0,0,0,1,0,0,0,1
U0040,4,13.6,3,3,1,0,1,2,45,2.3,0,0,1,0,0,0,0,0,1
U0041,2,4.5,4,3,0,0,0,2,48,1.9,0,0,0,0,0,1,0,0,1
U0042,13,21.6,14,8,4,1,1,2,35,2.6,0,0,0,0,0,0,0,1,1
U0043,28,43.6,33,18,13,5,6,5,7,4.6,0,0,0,0,1,0,0,0,0
U0044,5,5.4,8,3,1,0,1,1,40,1.9,0,0,0,0,0,0,1,0,1
U0045,11,21.4,17,10,5,1,1,2,36,2.8,0,0,0,0,0,0,1,0,0
U0046,17,34.0,22,12,5,1,1,3,27,3.3,0,0,0,0,0,1,0,0,0
U0047,10,20.9,10,8,4,0,1,2,35,2.7,0,0,0,1,0,0,0,0,1
U0048,22,38.1,27,13,9,2,4,4,16,4.1,0,0,0,0,0,1,0,0,0
U0049,19,31.9,25,16,10,3,4,4,21,3.9,0,1,0,0,0,0,0,0,0
U0050,5,11.8,9,3,3,0,0,2,49,2.2,0,1,0,0,0,0,0,0,1
U0051,19,33.5,22,11,6,1,3,3,22,3.4,0,0,0,0,0,1,0,0,0
U0052,18,30.8,25,12,7,2,3,4,26,3.1,0,0,0,0,0,0,0,1,0
U0053,14,25.7,21,8,4,1,1,3,32,2.8,0,0,0,1,0,0,0,0,1
U0054,7,12.5,11,8,3,1,1,3,37,2.2,0,0,0,0,0,0,0,1,1
U0055,24,44.7,27,16,11,4,5,4,11,4.2,0,0,1,0,0,0,0,0,0
U0056,7,12.3,5,5,2,0,0,2,49,2.0,0,0,0,0,1,0,0,0,1
U0057,8,14.0,11,4,3,1,1,2,38,2.9,0,0,0,0,0,0,0,1,1
U0058,18,31.9,25,14,9,3,3,4,19,3.3,0,0,0,0,0,0,0,1,0
U0059,17,37.8,27,12,7,3,4,4,21,3.5,0,0,0,0,0,0,1,0,0
U0060,26,44.4,30,16,10,3,4,4,15,3.8,0,0,0,0,0,1,0,0,0
U0061,7,19.1,12,5,4,0,1,2,38,2.1,0,0,0,0,1,0,0,0,1
U0062,22,44.7,30,15,10,3,4,4,15,3.7,1,0,0,0,0,0,0,0,0
U0063,15,27.0,16,12,8,1,4,2,32,2.9,0,0,0,0,0,0,1,0,1
U0064,14,29.2,21,9,5,1,1,2,24,3.3,0,1,0,0,0,0,0,0,1
U0065,16,28.4,17,8,4,1,2,2,26,2.8,0,0,0,0,0,0,1,0,1
U0066,22,38.6,26,15,11,4,5,4,11,3.9,1,0,0,0,0,0,0,0,0
U0067,5,7.5,7,5,2,1,0,2,40,1.9,0,0,0,0,0,1,0,0,1
U0068,4,4.4,4,3,1,0,0,1,42,2.3,0,0,0,0,0,0,1,0,1
U0069,23,41.8,31,15,10,4,6,5,15,4.1,0,0,0,0,1,0,0,0,0
U0070,18,34.2,23,12,8,3,4,3,19,3.2,0,0,1,0,0,0,0,0,0
U0071,26,39.9,30,17,12,4,5,4,9,3.9,0,0,1,0,0,0,0,0,0
U0072,21,39.6,27,13,8,2,3,4,19,3.6,1,0,0,0,0,0,0,0,0
U0073,10,19.9,16,7,5,1,1,3,37,3.0,0,0,0,1,0,0,0,0,1
U0074,22,40.0,27,12,8,3,3,4,16,3.8,0,0,0,0,0,0,0,1,0
U0075,18,32.3,26,13,8,3,3,3,13,3.9,0,0,0,0,0,1,0,0,0
U0076,12,18.3,12,5,3,1,2,2,36,3.0,1,0,0,0,0,0,0,0,1
U0077,13,30.6,19,12,7,2,4,3,32,3.5,0,0,0,0,1,0,0,0,1
U0078,8,14.4,11,6,2,0,1,2,40,2.3,0,0,0,1,0,0,0,0,1
U0079,21,38.1,33,17,12,5,5,4,12,3.9,0,0,0,0,0,0,1,0,0
U0080,27,54.2,33,19,15,6,9,5,2,4.6,0,0,1,0,0,0,0,0,0
U0081,30,51.8,33,18,14,5,6,5,5,4.1,0,0,0,0,1,0,0,0,0
U0082,8,12.9,7,4,2,0,1,2,44,2.2,0,0,0,1,0,0,0,0,1
U0083,19,34.2,23,12,7,2,3,3,27,3.2,0,0,0,0,0,0,0,1,0
U0084,27,49.7,34,17,13,5,7,5,4,4.3,0,0,0,0,0,1,0,0,0
U0085,7,25.1,15,8,4,1,1,3,33,2.7,0,0,0,0,0,1,0,0,1
U0086,20,39.4,23,16,10,3,5,4,23,3.5,0,0,0,0,0,0,1,0,0
U0087,8,12.5,8,3,2,1,1,2,40,2.5,1,0,0,0,0,0,0,0,1
U0088,19,37.4,25,13,8,2,3,4,23,3.5,0,1,0,0,0,0,0,0,0
U0089,13,29.5,17,8,5,1,2,2,32,2.7,0,1,0,0,0,0,0,0,1
U0090,13,28.8,19,10,6,1,3,3,29,2.8,0,1,0,0,0,0,0,0,0
U0091,19,36.2,24,13,8,3,4,4,26,3.4,1,0,0,0,0,0,0,0,0
U0092,15,25.0,20,12,7,1,2,4,27,3.4,0,0,0,0,0,1,0,0,1
U0093,22,40.6,26,16,12,4,5,3,19,3.9,0,0,0,1,0,0,0,0,0
U0094,17,33.3,19,10,6,2,2,3,22,2.9,0,0,0,0,0,1,0,0,0
U0095,2,6.4,7,3,0,0,0,2,54,2.0,0,0,1,0,0,0,0,0,1
U0096,18,32.7,22,12,8,2,4,3,22,3.9,0,1,0,0,0,0,0,0,1
U0097,19,38.0,25,15,8,2,4,3,19,3.8,0,0,0,1,0,0,0,0,0
U0098,20,39.5,26,14,8,3,3,3,10,3.7,1,0,0,0,0,0,0,0,0
U0099,20,40.8,25,14,9,4,4,4,16,3.5,0,1,0,0,0,0,0,0,0
U0100,20,31.6,28,12,7,2,3,4,21,3.3,0,0,0,0,0,0,0,1,0
U0101,9,16.9,15,8,4,1,1,3,31,2.7,0,1,0,0,0,0,0,0,1
U0102,15,24.1,16,9,7,1,3,3,27,2.6,0,0,0,0,0,0,0,1,0
U0103,13,27.3,12,9,5,1,1,3,43,2.6,0,1,0,0,0,0,0,0,1
U0104,20,39.0,26,13,8,3,3,3,15,3.6,0,0,1,0,0,0,0,0,0
U0105,16,32.7,21,12,6,2,3,3,25,3.6,0,0,0,1,0,0,0,0,1
U0106,21,43.2,29,15,10,3,4,4,11,3.4,1,0,0,0,0,0,0,0,0
U0107,13,19.2,15,9,4,0,1,2,29,2.7,0,0,0,1,0,0,0,0,1
U0108,17,23.6,19,10,6,2,3,3,27,3.4,0,0,0,1,0,0,0,0,1
U0109,15,22.6,17,11,6,2,2,2,32,2.8,0,0,0,1,0,0,0,0,1
U0110,24,51.1,35,18,14,4,7,5,4,4.6,0,0,0,1,0,0,0,0,0
U0111,27,48.1,36,18,14,5,7,5,5,4.5,0,0,0,0,1,0,0,0,0
U0112,4,2.8,6,3,2,1,1,1,51,1.7,0,0,0,0,0,0,0,1,1
U0113,8,12.8,9,4,1,0,0,2,39,2.4,0,1,0,0,0,0,0,0,1
U0114,8,9.7,10,6,2,1,1,2,44,2.1,0,0,0,0,0,1,0,0,1
U0115,2,2.7,3,2,0,0,0,1,45,1.7,0,0,0,1,0,0,0,0,1
U0116,21,38.6,27,16,12,4,6,4,11,4.0,1,0,0,0,0,0,0,0,0
U0117,22,40.5,24,14,10,3,4,4,14,4.0,0,0,1,0,0,0,0,0,0
U0118,22,36.6,31,14,9,2,4,4,15,3.8,1,0,0,0,0,0,0,0,0
U0119,18,34.9,22,12,6,3,2,3,22,3.1,0,0,0,0,0,0,1,0,0
U0120,19,29.4,22,12,7,2,2,3,22,2.9,0,0,0,0,1,0,0,0,0
U0121,26,48.5,33,17,12,5,6,4,9,4.4,0,0,0,1,0,0,0,0,0
U0122,15,25.3,18,10,5,2,2,3,33,2.4,1,0,0,0,0,0,0,0,1
U0123,5,14.0,4,6,3,1,1,2,40,2.3,0,0,0,1,0,0,0,0,1
U0124,23,37.9,25,14,9,3,3,3,22,3.4,0,0,0,0,0,0,0,1,0
U0125,16,31.9,24,12,6,2,2,3,23,3.2,0,0,1,0,0,0,0,0,1
U0126,4,11.7,6,3,1,0,1,2,46,2.0,1,0,0,0,0,0,0,0,1
U0127,11,21.8,17,7,2,1,1,2,31,2.7,0,0,0,0,0,0,1,0,1
